Admin,Latitude,Longitude,Area,Medic,Ward,Beds,Urban,Population,Essential,Reproductive,Nhos,Ndocs,OpenYear,OpenMonth,OpenDay,CloseYear,CloseMonth,CloseDay,Date,Censored
3620000,35.1760447,126.928038,160,1,,,1,430431,1,1,97,3347,2008,11,19,,,,5707,0
3620000,35.212021,126.8748394,775.34,1,6,19,1,430431,1,0,97,3347,2017,2,2,,,,2710,0
3620000,35.1870875,126.9025785,130,1,,,1,430431,1,1,97,3347,2017,3,2,,,,2682,0
3620000,35.1767683,126.8772214,119.49,1,,,1,430431,1,1,97,3347,2008,10,23,,,,5734,0
3620000,35.1804333,126.9305332,231,2,,,1,430431,0,0,97,3347,2008,10,27,,,,5730,0
3620000,35.1796254,126.874491,952.81,3,,,1,430431,1,0,97,3347,2010,5,10,,,,5170,0
3620000,35.1792796,126.8750093,187.69,1,1,1,1,430431,1,0,97,3347,2010,5,10,,,,5170,0
3620000,35.1854649,126.9225141,128.9,1,,,1,430431,1,1,97,3347,2011,9,2,,,,4690,0
3620000,35.1785616,126.8760299,245,1,,,1,430431,1,1,97,3347,2015,7,29,,,,3264,0
3620000,35.1873389,126.9034843,357.52,1,,,1,430431,1,0,97,3347,2016,7,26,,,,2901,0
3620000,35.2102754,126.8744757,367.79,1,,,1,430431,0,0,97,3347,2016,8,24,,,,2872,0
3620000,35.1903816,126.8934303,174.3,1,,,1,430431,1,1,97,3347,2009,4,8,,,,5567,0
3620000,35.1539884,126.9089185,379,4,5,5,1,430431,1,0,97,3347,2014,2,25,,,,3783,0
3620000,35.207335,126.8640267,285,1,,,1,430431,1,0,97,3347,2014,3,12,,,,3768,0
3620000,35.1700664,126.9430929,500,1,,,1,430431,1,0,97,3347,2017,8,31,,,,2500,0
3620000,35.2103981,126.8736175,296,4,,,1,430431,1,0,97,3347,2014,5,28,,,,3691,0
3620000,35.2073357,126.8624331,180,1,,,1,430431,1,1,97,3347,2014,6,2,,,,3686,0
3620000,35.2103981,126.8736175,236,2,,,1,430431,1,1,97,3347,2014,6,5,,,,3683,0
3620000,35.1722515,126.9250642,199,1,,,1,430431,1,1,97,3347,2014,6,9,,,,3679,0
3620000,35.2126749,126.8817994,304.1,2,,,1,430431,1,1,97,3347,2014,10,6,,,,3560,0
3620000,35.1796254,126.874491,157,1,,,1,430431,1,1,97,3347,2013,8,26,,,,3966,0
3620000,35.1762218,126.9281305,306,1,1,1,1,430431,0,0,97,3347,2013,9,3,,,,3958,0
3620000,35.2066115,126.8640121,231,1,4,9,1,430431,1,0,97,3347,2013,10,21,,,,3910,0
3620000,35.1762218,126.9281305,220,2,,,1,430431,1,0,97,3347,2013,11,6,,,,3894,0
3620000,35.1876278,126.898133,164.13,1,,,1,430431,1,0,97,3347,2014,3,18,,,,3762,0
3620000,35.2138354,126.8608428,105.3,5,,,1,430431,1,1,97,3347,2010,9,1,,,,5056,0
3620000,35.1895088,126.8985813,424.19,3,3,6,1,430431,1,1,97,3347,2011,5,30,,,,4785,0
3620000,35.1848611,126.8710498,265,1,,,1,430431,1,1,97,3347,2012,11,8,,,,4257,0
3620000,35.1751074,126.8810996,266,2,,,1,430431,0,0,97,3347,2012,11,21,,,,4244,0
3620000,35.182047,126.87343,165.13,1,,,1,430431,1,1,97,3347,2012,12,24,,,,4211,0
3620000,35.2177466,126.8775514,161.72,1,,,1,430431,1,1,97,3347,2013,2,1,,,,4172,0
3620000,35.1539914,126.9088181,536,4,,,1,430431,1,0,97,3347,2013,4,2,,,,4112,0
3620000,35.1688872,126.9047602,2059.16,7,9,22,1,430431,1,0,97,3347,2011,4,29,,,,4816,0
3620000,35.2126749,126.8817994,208,1,,,1,430431,1,1,97,3347,2014,4,30,,,,3719,0
3620000,35.1685587,126.9328717,167.48,2,,,1,430431,1,1,97,3347,2017,9,5,,,,2495,0
3620000,35.2119283,126.8735372,97.4,1,,,1,430431,0,0,97,3347,2017,9,12,,,,2488,0
3620000,35.1620362,126.9355004,660,1,8,26,1,430431,1,0,97,3347,2017,10,23,,,,2447,0
3620000,35.197491,126.8709595,241,1,,,1,430431,1,1,97,3347,2017,10,30,,,,2440,0
3620000,35.1799527,126.8978011,330,1,,,1,430431,1,0,97,3347,2012,2,29,,,,4510,0
3620000,35.1713697,126.922681,348,3,1,3,1,430431,1,1,97,3347,2014,4,1,,,,3748,0
3620000,35.2066115,126.8640121,275,1,,,1,430431,1,1,97,3347,2014,4,17,,,,3732,0
3620000,35.1876278,126.898133,221.41,1,,,1,430431,1,1,97,3347,2017,11,23,,,,2416,0
3620000,35.1754983,126.9325594,261.3,1,5,11,1,430431,1,1,97,3347,2017,12,6,,,,2403,0
3620000,35.1705458,126.9056766,143,1,,,1,430431,1,0,97,3347,2017,12,27,,,,2382,0
3620000,35.2107495,126.873744,609.28,5,,,1,430431,1,1,97,3347,2018,1,9,,,,2369,0
3620000,35.2073282,126.8591046,127,1,,,1,430431,1,1,97,3347,2014,1,2,,,,3837,0
3620000,35.207335,126.8640267,188.8,1,,,1,430431,1,1,97,3347,2014,1,27,,,,3812,0
3620000,35.2066115,126.8640121,127,1,1,3,1,430431,1,1,97,3347,2014,2,7,,,,3801,0
3620000,35.1875444,126.9016827,580,1,,,1,430431,1,1,97,3347,2014,2,7,,,,3801,0
3620000,35.1693163,126.9062041,209.02,2,,,1,430431,1,1,97,3347,2013,4,24,,,,4090,0
3620000,35.2126561,126.8739885,223,1,,,1,430431,1,1,97,3347,2013,4,29,,,,4085,0
3620000,35.1753822,126.8803359,508.02,1,13,27,1,430431,1,1,97,3347,2013,6,24,,,,4029,0
3620000,35.1900272,126.8986838,1037,3,11,25,1,430431,1,0,97,3347,2011,3,31,,,,4845,0
3450000,35.8993234,128.5966175,334.64,2,,,1,440263,1,1,36,1719,2017,10,23,,,,2447,0
3450000,35.888786,128.5918927,199.15,3,,,1,440263,1,0,36,1719,2017,12,29,,,,2380,0
